epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
50,522.305,0.30182,0.54262,0.32905,0.85145,0,0.9687,0.91905,0.92418,0.91879,0.9687,0.91905,0.92418,0.91229,0.22883,0.80646,0.23899,0.79958,0,0.000735792,0.000735792,0.000735792
51,532.098,0.31958,0.681,0.32117,0.86006,0,0.9706,0.91905,0.92476,0.92079,0.9706,0.91905,0.92476,0.91497,0.2356,0.52282,0.24819,0.79752,0,0.000721645,0.000721645,0.000721645
52,543.213,0.34381,0.65209,0.34749,0.86823,0,0.97062,0.91905,0.92396,0.91005,0.97062,0.91905,0.92396,0.9128,0.25157,0.52827,0.24255,0.79939,0,0.000707498,0.000707498,0.000707498
53,547.732,0.31924,0.67443,0.33078,0.85624,0,0.97122,0.91851,0.92242,0.91697,0.97122,0.91851,0.92242,0.90887,0.24096,0.74144,0.25674,0.79218,0,0.000693351,0.000693351,0.000693351
54,562.696,0.30834,0.55506,0.31904,0.85774,0,0.97098,0.91905,0.92118,0.91694,0.97098,0.91905,0.92118,0.90949,0.20048,0.64965,0.26185,0.77467,0,0.000679204,0.000679204,0.000679204
55,569.144,0.30072,0.50176,0.32836,0.86884,0,0.96934,0.91905,0.91988,0.91193,0.96934,0.91905,0.91988,0.90714,0.2365,0.70303,0.24588,0.79554,0,0.000665057,0.000665057,0.000665057
56,577.329,0.31597,0.56243,0.35115,0.85621,0,0.96917,0.91905,0.92587,0.91106,0.96917,0.91905,0.92327,0.91277,0.21604,0.68764,0.27784,0.77118,0,0.000650909,0.000650909,0.000650909
57,587.35,0.30273,0.6131,0.34632,0.85964,0,0.94146,0.93016,0.9215,0.91314,0.94146,0.93016,0.9215,0.90832,0.19763,0.69923,0.28146,0.76222,0,0.000636762,0.000636762,0.000636762
58,602.843,0.29607,0.7278,0.33071,0.8457,0,0.96841,0.91905,0.93062,0.92678,0.96841,0.91905,0.93062,0.92233,0.20245,0.5869,0.25079,0.77311,0,0.000622615,0.000622615,0.000622615
59,611.004,0.29619,0.6236,0.31428,0.8508,0,0.96985,0.91905,0.92678,0.92339,0.96985,0.91905,0.92678,0.9169,0.21272,0.65502,0.23493,0.78564,0,0.000608468,0.000608468,0.000608468
